NBV,-1,2
CAT,3,3
,Game Id,9999
,,
A23,-1,1
CHZ,2,2
,,
Round 2 Winners,Game Id,9999
CAT,2,5
CHZ,3,3
,,
Round 1,Game Id,#REF!
A01,1,1
A02,0,-1
,Game Id,#REF!
,,
GOON,6,7
A04,1,1
,f,
Round 2 Winners,Game Id,#REF!
A01,-6,1
GOON,7,7
,,
Round 2 loser,Game Id,#REF!
A02,4,5
A04,1,1
,,
Round 3 Loser,Game Id,#REF!
A01,-2,2
A02,4,4
,,
Round 4 Semi Finals,Game Id,#REF!
GOON,6,7
A08,1,1
,Game Id,#REF!
,,
A02,-9,2
NBV,11,11
,,
Round 5 Finals,Game Id,#REF!
GOON,-1,0
NBV,1,1
,,
Round 1,Game ID,#REF!
NBV,18,19
A06,1,1
,Game ID,#REF!
,,
A07,1,3
A08,2,2
,,
Round 2 Winners,Game ID,#REF!
NBV,1,1
A07,0,0
,,
Round 2 loser,Game ID,#REF!
A06,-1,0
A08,1,1
,,
Round 3 Loser,Game ID,#REF!
A07,-2,3
A08,5,5
,,
Round 1,Game Id,#REF!
A09,4,4
A10,0,0
,Game Id,#REF!
,,
A11,-1,0
TCF,1,1
,,
Round 2 Winners,Game Id,#REF!
A09,-1,1
TCF,2,2
,,
Round 2 loser,Game Id,#REF!
A10,1,1
A11,0,0
,,
Round 3 Loser,Game Id,#REF!
A09,6,6
A10,0,0
,,
Round 4 Semi Finals,Game Id,#REF!
TCF,3,5
A14,2,2
,Game Id,#REF!
,,
A09,-2,1
CAT,3,3
,,
Round 5 Finals,Game Id,#REF!
TCF,-1,1
CAT,2,2
,,
Round 1,Game ID,#REF!
A13,1,1
A14,0,0
,Game ID,#REF!
,,
CAT,11,11
A16,0,0
,,
Round 2 Winners,Game ID,#REF!
A13,-1,3
CAT,4,4
,,
Round 2 loser,Game ID,#REF!
A14,1,3
A16,2,2
,,
Round 3 Loser,Game ID,#REF!
A13,-1,1
A14,2,2
,,
Round 1,Game Id,#REF!
A17,-1,0
A18,1,1
,Game Id,#REF!
,,
A19,7,9
A20,2,2
,,
Round 2 Winners,Game Id,#REF!
A18,-2,2
A19,4,4
,,
Round 2 loser,Game Id,#REF!
A17,4,5
A20,1,1
,,
Round 3 Loser,Game Id,#REF!
A18,1,3
A17,2,2
,,
Round 4 Semi Finals,Game Id,#REF!
A19,-4,2
A21,6,6
,Game Id,#REF!
,,
A18,-1,0
A23,1,1
,,
Round 5 Finals,Game Id,#REF!
A21,-1,0
A23,1,1
,,
Round 1,Game ID,#REF!
A21,-2,2
A22,4,4
,Game ID,#REF!
,,
A23,7,8
A24,1,1
,,
Round 2 Winners,Game ID,#REF!
A22,-1,3
A23,4,4
,,
Round 2 loser,Game ID,#REF!
A21,12,12
A24,0,0
,,
Round 3 Loser,Game ID,#REF!
A22,-1,2
A21,3,3
,,
Round 1,Game Id,#REF!
A25,-2,2
A26,4,4
,Game Id,#REF!
,,
A27,-3,3
A28,6,6
,,
Round 2 Winners,Game Id,#REF!
A26,-1,0
A28,1,1
,,
Round 2 loser,Game Id,#REF!
A25,-4,2
A27,6,6
,,
Round 3 Loser,Game Id,#REF!
A26,-6,0
A27,6,6
,,
Round 4 Semi Finals,Game Id,#REF!
A28,-1,2
A30,3,3
,Game Id,#REF!
,,
A27,-1,1
CHZ,2,2
,,
Round 5 Finals,Game Id,#REF!
A30,-3,1
CHZ,4,4
,,
Round 1,Game ID,#REF!
A29,-29,0
A30,29,29
,Game ID,#REF!
,,
CHZ,1,1
A32,0,0
,,
Round 2 Winners,Game ID,#REF!
A30,-1,2
CHZ,3,3
,,
Round 2 loser,Game ID,#REF!
A29,-1,0
A32,1,1
,,
Round 3 Loser,Game ID,#REF!
A30,1,1
A32,0,1
